asset_id,date,utilization_percentage,active_hours,site_name,assignee_name
ASSET-001,8/1/2025,78.5,18.8,North Construction Site,John Martinez
ASSET-001,8/2/2025,82.1,19.7,North Construction Site,John Martinez
ASSET-001,8/3/2025,75.3,18.1,North Construction Site,John Martinez
ASSET-001,8/4/2025,79.8,19.2,North Construction Site,John Martinez
ASSET-001,8/5/2025,81.5,19.6,North Construction Site,John Martinez
ASSET-001,8/8/2025,77.2,18.5,North Construction Site,John Martinez
ASSET-001,8/9/2025,84.3,20.2,North Construction Site,John Martinez
ASSET-001,8/10/2025,79.1,19,North Construction Site,John Martinez
ASSET-001,8/11/2025,76.8,18.4,Downtown Project Alpha,John Martinez
ASSET-001,8/12/2025,80.5,19.3,Downtown Project Alpha,John Martinez
ASSET-001,8/15/2025,83.7,20.1,Downtown Project Alpha,John Martinez
ASSET-001,8/16/2025,78.9,18.9,Downtown Project Alpha,John Martinez
ASSET-001,8/17/2025,81.2,19.5,Downtown Project Alpha,John Martinez
ASSET-001,8/18/2025,77.6,18.6,Downtown Project Alpha,John Martinez
ASSET-001,8/19/2025,79.4,19.1,Downtown Project Alpha,John Martinez
ASSET-001,8/22/2025,82.8,19.9,Downtown Project Alpha,John Martinez
ASSET-001,8/23/2025,76.5,18.4,North Construction Site,John Martinez
ASSET-001,8/24/2025,80.1,19.2,North Construction Site,John Martinez
ASSET-001,8/25/2025,78.3,18.8,North Construction Site,John Martinez
ASSET-001,8/26/2025,81.9,19.7,North Construction Site,John Martinez
ASSET-001,8/29/2025,77.8,18.7,North Construction Site,John Martinez
ASSET-001,8/30/2025,79.6,19.1,North Construction Site,John Martinez
ASSET-001,9/1/2025,85.2,20.4,North Construction Site,John Martinez
ASSET-001,9/2/2025,83.7,20.1,North Construction Site,John Martinez
ASSET-001,9/5/2025,81.4,19.5,Highway Expansion Zone,Sarah Chen
ASSET-001,9/6/2025,86.9,20.9,Highway Expansion Zone,Sarah Chen
ASSET-001,9/7/2025,84.5,20.3,Highway Expansion Zone,Sarah Chen
ASSET-001,9/8/2025,82.1,19.7,Highway Expansion Zone,Sarah Chen
ASSET-001,9/9/2025,87.3,21,Highway Expansion Zone,Sarah Chen
ASSET-001,9/12/2025,85.8,20.6,Highway Expansion Zone,Sarah Chen
ASSET-001,9/13/2025,83.2,20,Highway Expansion Zone,Sarah Chen
ASSET-001,9/14/2025,86.5,20.8,Highway Expansion Zone,Sarah Chen
ASSET-001,9/15/2025,84.9,20.4,Highway Expansion Zone,Sarah Chen
ASSET-001,9/16/2025,82.7,19.8,Highway Expansion Zone,Sarah Chen
ASSET-001,9/19/2025,85.1,20.4,North Construction Site,Sarah Chen
ASSET-001,9/20/2025,83.6,20.1,North Construction Site,Sarah Chen
ASSET-001,9/21/2025,86.2,20.7,North Construction Site,Sarah Chen
ASSET-001,9/22/2025,84.8,20.4,North Construction Site,Sarah Chen
ASSET-001,9/23/2025,81.5,19.6,North Construction Site,Sarah Chen
ASSET-001,9/26/2025,87.4,21,North Construction Site,Sarah Chen
ASSET-001,9/27/2025,85.9,20.6,North Construction Site,Sarah Chen
ASSET-001,9/28/2025,83.3,20,North Construction Site,Sarah Chen
ASSET-001,9/29/2025,86.7,20.8,North Construction Site,Sarah Chen
ASSET-001,9/30/2025,84.2,20.2,North Construction Site,Sarah Chen
ASSET-002,8/1/2025,85.2,20.4,Downtown Project Alpha,Mike Johnson
ASSET-002,8/2/2025,87.9,21.1,Downtown Project Alpha,Mike Johnson
ASSET-002,8/3/2025,84.1,20.2,Downtown Project Alpha,Mike Johnson
ASSET-002,8/4/2025,86.5,20.8,Downtown Project Alpha,Mike Johnson
ASSET-002,8/5/2025,88.3,21.2,Downtown Project Alpha,Mike Johnson
ASSET-002,8/8/2025,85.7,20.6,Downtown Project Alpha,Mike Johnson
ASSET-002,8/9/2025,89.1,21.4,Downtown Project Alpha,Mike Johnson
ASSET-002,8/10/2025,86.8,20.8,Downtown Project Alpha,Mike Johnson
ASSET-002,8/11/2025,84.5,20.3,Downtown Project Alpha,Mike Johnson
ASSET-002,8/12/2025,87.2,20.9,Downtown Project Alpha,Mike Johnson
ASSET-002,8/15/2025,88.6,21.3,Industrial Park Beta,Mike Johnson
ASSET-002,8/16/2025,85.9,20.6,Industrial Park Beta,Mike Johnson
ASSET-002,8/17/2025,87.4,21,Industrial Park Beta,Mike Johnson
ASSET-002,8/18/2025,84.2,20.2,Industrial Park Beta,Mike Johnson
ASSET-002,8/19/2025,86.1,20.7,Industrial Park Beta,Mike Johnson
ASSET-002,8/22/2025,88.9,21.3,Industrial Park Beta,Mike Johnson
ASSET-002,8/23/2025,85.3,20.5,Industrial Park Beta,Mike Johnson
ASSET-002,8/24/2025,87.7,21,Industrial Park Beta,Mike Johnson
ASSET-002,8/25/2025,84.8,20.4,Industrial Park Beta,Mike Johnson
ASSET-002,8/26/2025,86.4,20.7,Industrial Park Beta,Mike Johnson
ASSET-003,8/1/2025,62.3,15,Highway Expansion Zone,David Lee
ASSET-003,8/2/2025,65.8,15.8,Highway Expansion Zone,David Lee
ASSET-003,8/3/2025,61.5,14.8,Highway Expansion Zone,David Lee
ASSET-003,8/4/2025,64.2,15.4,Highway Expansion Zone,David Lee
ASSET-003,8/5/2025,66.1,15.9,Highway Expansion Zone,David Lee
ASSET-003,8/8/2025,62.9,15.1,Highway Expansion Zone,David Lee
ASSET-003,8/9/2025,67.3,16.2,Highway Expansion Zone,David Lee
ASSET-003,8/10/2025,64.7,15.5,Highway Expansion Zone,David Lee
ASSET-003,8/11/2025,61.8,14.8,Highway Expansion Zone,David Lee
ASSET-003,8/12/2025,65.4,15.7,Highway Expansion Zone,David Lee
